user_id,business_id,stars,review_days_since,name,review_count,user_days_active,useful,funny,cool,fans,average_stars,name_business,city,state,categories,stars_business,review_count_business,label
3MpDvy5gEdsbZh9-p92dHg,8QnuWGVNBhzyYXGSeRdi4g,4,4286,Cassie,621,6514,0,0,0,38,3.67,Sweet Cece's,Nashville,TN,"Food, Ice Cream & Frozen Yogurt",3.5,17,1
wA7V8Ijgbv-16rmnwW-hjA,LfYUOclwLs_SPrNAdKMjsw,5,4265,Michelle,26,4405,4,0,0,1,5,Ralston Massage Center,Reno,NV,"Health & Medical, Beauty & Spas, Massage, Physical Therapy, Massage Therapy",4.5,39,1
qEEk0PuoH1dVa619t8fgpw,PY9GRfzr4nTZeINf346QOw,4,2859,Gordon,268,3770,0,0,0,3,3.77,Peppermill Reno,Reno,NV,"Event Planning & Services, Casinos, Beauty & Spas, Venues & Event Spaces, Arts & Entertainment, Day Spas, Hotels, Hotels & Travel",4,2486,1
aFa96pz67TwOFu4Weq5Agg,kq5Ghhh14r-eCxlVmlyd8w,5,2522,Jenna,84,2934,0,0,0,5,3.93,The Coventry Deli,Philadelphia,PA,"Restaurants, Delis, Salad, Sandwiches",4,65,1
yobeeTUBfaTBcnk26mXNuA,hKameFsaXh9g8WQbv593UA,4,3748,Kristen,30,4457,0,0,0,2,4.3,Aquafinz,Lutz,FL,"Seafood, Steakhouses, Salad, Comfort Food, Restaurants, Southern",3.5,86,1
RRTQpg8hutdimzAYuP_Hbw,eaJCpC6IhYphj7bwCDHTwQ,5,3611,Daphne,11,3752,0,0,0,0,4.91,Three Brothers Coffee,Nashville,TN,"Bagels, Sporting Goods, Outdoor Gear, Coffee & Tea, Cafes, Sandwiches, Food, Shopping, Internet Cafes, Restaurants",4.5,249,1
S7bjj-L07JuRr-tpX1UZLw,I6L0Zxi5Ww0zEWSAVgngeQ,4,2569,Carly,156,3717,0,0,0,3,4.04,Cafe Beignet on Bourbon Street,New Orleans,LA,"Sandwiches, Breakfast & Brunch, Cajun/Creole, Cafes, Food, Restaurants, Donuts",3.5,1066,1
ZGjgfSvjQK886kiTzLwfLQ,EtKSTHV5Qx_Q7Aur9o4kQQ,5,5757,Ali,494,6977,3,1,1,53,4,Village Whiskey,Philadelphia,PA,"Bars, Nightlife, Whiskey Bars, Burgers, Restaurants, American (New)",4,1553,1
IKbjLnfBQtEyVzEu8CuOLg,VJEzpfLs_Jnzgqh5A_FVTg,4,4127,Erica,800,5677,0,0,0,64,3.87,Jasmine Rice - Rittenhouse,Philadelphia,PA,"Soup, Thai, Restaurants, Salad",3.5,307,1
9ZLpaBGl-udvS-niR3Y_ow,GILL0ZkvVXJaNQzYRXfMQw,5,4667,Katie,39,4939,1,1,0,1,3.7,Paris Parker Salon & Spa,New Orleans,LA,"Hair Salons, Beauty & Spas, Nail Salons, Day Spas, Hair Removal, Waxing, Hair Extensions",4,119,1
DBYhpb5hrAYgQjQaMhNYyQ,oJ4ik-4PZe6gexxW-tSmsw,4,3188,Tisha,258,3755,0,0,0,14,4.27,Broad Ripple Brewpub,Indianapolis,IN,"Nightlife, Food, Pizza, Brewpubs, Restaurants, Fish & Chips, American (New), Bars, Pubs, Breweries, Vegetarian",3.5,378,1
IMd3NQbclta91pFKk3AJZg,qO9dNNIvNbCBd8ZgjxMxgQ,5,3024,Liz,38,5335,0,0,0,2,3.85,HOME Santa Barbara,Santa Barbara,CA,"Home & Garden, Furniture Stores, Home Decor, Shopping, Flowers & Gifts, Gift Shops",4.5,13,1
NUtIAX-ygn474tDg5nmesg,6LCZLGa09Qifn6rG7-DNrg,4,3806,Eunni,234,4916,0,0,1,18,3.65,Erawan Thai Cuisine,Philadelphia,PA,"Thai, Restaurants",3.5,180,1
aWlojpSpzEICTza3RgGJgg,SIoCIxjn4jLt2O-4DajWJw,4,3531,Stephen,10,3532,0,0,0,1,3.6,Mac's Tavern,Philadelphia,PA,"Nightlife, Restaurants, American (New), Bars, Pubs",3.5,446,1
JYYYKt6TdVA4ng9lLcXt_g,SZU9c8V2GuREDN5KgyHFJw,5,3336,David,338,5134,0,0,0,30,4.12,Santa Barbara Shellfish Company,Santa Barbara,CA,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife",4,2404,1
uAu772KpSkb-tPFgZmU-lA,2GYg3liJ9-m6Z67L_4_BRQ,5,6072,Susanne,286,6214,7,0,3,18,3.89,Weavers Way Co-Op,Philadelphia,PA,"Pets, Cheese Shops, Health Markets, Grocery, Food, Specialty Food",4.5,54,1
NGTzj_44YDnPDmsD45HWeg,O8BBn8lry8lLoIFmChceGg,5,3996,Pam,24,4103,0,0,0,0,4.19,Just Pizza,Indianapolis,IN,"Restaurants, Pizza",3.5,20,1
Z5j9Xw_G0c7M2b1-iS67wg,HTqXI5S2XcSlh_ylx9sE6g,5,2675,Amanda,392,5117,1,1,1,34,3.68,Termini Bros Bakery,Philadelphia,PA,"Food, Restaurants, Bakeries",4,263,1
CgyCtH9CbLO7J_uO3cL7OA,PzhPMkaNYiKDTHoTG0r8rw,4,3226,Amanda,37,4001,0,0,0,3,3.54,Pho Cam Ly,New Orleans,LA,"Vietnamese, Restaurants",4.5,178,1
xbybLiQockAzC4xAlzFrGg,EpREWeEpmR8f1qLHzzF0AA,5,4980,Christy,127,5332,0,0,0,9,4.38,Schlafly Bottleworks,Saint Louis,MO,"Local Flavor, Food, Brewpubs, Breweries, Restaurants, Pizza, American (Traditional), American (New)",4,615,1
R_W9WlKiA56VzVbRzTULQQ,pR8u8hXf1vvzoAGOoKHQqQ,5,3250,Emine,13,3444,1,0,0,0,3.73,Mike's Auto Detailing,Tampa,FL,"Auto Detailing, Car Wash, Automotive",4.5,48,1
wp-uX1pnNjAIDBNnQxz1ZQ,lpfrjbjIWC0BNZThaSDMLw,5,3499,Fiona,102,3699,0,0,0,1,4.2,Simply Thai Restaurant,Florissant,MO,"Thai, Restaurants",4,85,1
qVYilGRmY6uemAy_tDpfuA,9OtFX3YzG5keaUMOWU1imA,5,4072,Adam,171,4822,4,0,0,4,4.61,Champions,Nashville,TN,"American (Traditional), Bars, American (New), Restaurants, Sports Bars, Nightlife",4,73,1
XN1ms_EBRYMF5GYSjfUHDQ,rJzLJL33mFyrM_90kAQKuw,5,2786,Jessica,27,3441,1,0,0,0,4.59,Angela Clifton Photography,Land O Lakes,FL,"Event Photography, Session Photography, Art Schools, Photographers, Event Planning & Services, Specialty Schools, Education",5,9,1
zKAHSNzqvwsyoFCw3QpafA,S2Ho8yLxhKAa26pBAm6rxA,4,2618,Nikki,53,3698,0,0,0,0,4.11,Creole House Restaurant & Oyster Bar,New Orleans,LA,"Cajun/Creole, Seafood, Restaurants, Breakfast & Brunch",4,1594,1
C_2mNjl-doRVvsL03_T57Q,18eWJFJbXyR9j_5xfcRLYA,4,5013,Richard,28,5152,7,0,0,0,4.07,Siam Elephant,Carpinteria,CA,"Restaurants, Thai",4.5,460,1
mEOMAeEonZoUx2nPM3v6fg,f-WhNOSwN1aB4nRFekf01g,4,3775,Lacie,117,5174,0,0,0,8,4.26,Smoothie King,New Orleans,LA,"Arts & Entertainment, Ticket Sales, Food, Juice Bars & Smoothies, Health Markets, Professional Sports Teams, Specialty Food, Stadiums & Arenas",4.5,50,1
pYXeL0RCqus2IfhthYCOyA,W7NxQw8UYFR0HLPrI08tvw,4,4917,Debbi,193,5189,0,0,0,11,4.26,Chipotle Mexican Grill,Tucson,AZ,"Restaurants, Fast Food, Mexican",3,76,1
jbsCBG0A-3wVDjrKar-0Wg,X63jIMRHYBvKKQDuJTRiQQ,5,3934,Harold,33,3934,2,0,1,0,4.73,Keystone Discount Tire,Bensalem,PA,"Transmission Repair, Auto Repair, Tires, Oil Change Stations, Automotive",4,23,1
Zp1o52IRl92dunmsfiT96g,gGyqnAlpFrka_qzpO7j4lQ,5,4482,Shannon,354,5130,0,0,0,15,3.92,Citizens Bank Park,Philadelphia,PA,"Active Life, Baseball Fields, Stadiums & Arenas, Arts & Entertainment",4.5,515,1
Cvi8nZTwDVaQkqmmgQwQMw,D4DZztR7vkbiED6txGUYFg,4,4408,Diana,320,5371,0,0,1,28,4.05,Red Kings 2 Restaurant,Philadelphia,PA,"Nightlife, Karaoke, Food, Szechuan, Chinese, Restaurants",3.5,68,1
pitYOVSsF8R1gWG1G0qxsA,GBTPC53ZrG1ZBY3DT8Mbcw,4,3421,Lynn,41,4815,0,0,0,0,3.77,Luke,New Orleans,LA,"German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch",4,4554,1
RiQWbgwR-asiU_mA7s8gpg,pUVRCYL8rT4I5Ry5FYkRsA,5,3134,Matthew,46,4938,2,0,1,4,3.68,Topa Topa Brewing Company,Santa Barbara,CA,"Food, Breweries",4.5,105,1
FEI0XkOrUHufSW_rfOTPAA,Dv6RfXLYe1atjgz3Xf4GGw,4,4610,Steven,25,5555,1,0,0,0,3.67,HipCityVeg,Philadelphia,PA,"Burgers, Vegetarian, Restaurants, Vegan",4,1082,1
X8XCFMZN8pFlWEZcKuKzZw,Zx7n8mdt8OzLRXVzolXNhQ,5,2736,Namilla,19,2875,0,0,0,0,4.35,Milk and Honey Nashville,Nashville,TN,"American (New), Restaurants, American (Traditional), Food, Breakfast & Brunch, Coffee & Tea, Pizza",4,1725,1
0Igx-a1wAstiBDerGxXk2A,actDmpJyaQPnkds6knMdKA,5,5984,Jen,2733,6030,3,2,1,200,4.06,The Green Project,New Orleans,LA,"Hardware Stores, Recycling Center, Home Services, Local Services, Shopping, Building Supplies, Community Service/Non-Profit, Thrift Stores, Home & Garden",4.5,40,1
TTibuRAx2gxu-nVAymFijQ,#NAME?,5,3950,Joe,32,3984,0,0,0,0,4.67,Sukho Thai,Nashville,TN,"Thai, Restaurants",3.5,116,1
O6wkgoJqU7KMjleSlCDGaA,EQ-TZ2eeD_E0BHuvoaeG5Q,5,2747,Lauren,142,4026,2,0,1,10,4.8,Milktooth,Indianapolis,IN,"Beer, Wine & Spirits, Cafes, Coffee & Tea, Restaurants, Food, Breakfast & Brunch, American (New)",4,1379,1
uzy_KYIZx65cp7Yh8_seeQ,ZuM1vcZ_ObCjCCGweYzItg,5,4286,Cheryl,32,5061,15,0,2,4,3.81,Green Locus,Tampa,FL,"Gyms, Fitness & Instruction, Active Life, Yoga, Pilates, Barre Classes",5,38,1
7RU_xK1tEGlUvXfe0GvtEg,hAmuto6UndVroyd_DaD-TA,5,2695,C,24,4015,1,0,0,0,4.54,Lobster Haven,Tampa,FL,"Specialty Food, Seafood Markets, Seafood, Food, Restaurants",4,441,1
16_EZvrDyxjDgxq6OUdbhQ,WaRZsQEcEHwRk0T2dJ-cuA,5,4163,Jodie,21,4509,1,0,0,0,4.19,La Casita,New Orleans,LA,"Mexican, Latin American, Gluten-Free, Restaurants",4,202,1
SNngOVGTkD34B3FAFnMv5A,ab3pRv-b0o-BwMK2jVbH3Q,5,2521,Janelle,7,3735,0,0,0,2,5,Saki Endless Sushi & Hibachi Eatery,Clearwater,FL,"Restaurants, Salad, Sushi Bars, Soup, Japanese",3.5,473,1
x-LrGPXN7WFX15Qk9B6_YQ,eMiN8nm70jjKg8izikVWDA,4,4751,Lindsay,220,5137,0,1,0,18,4.11,Chickie's & Pete's,Philadelphia,PA,"Seafood, Nightlife, Sports Bars, Bars, Restaurants, American (New)",3.5,590,1
x1qKiRxnPLf3JvOsUAsv_Q,GgGfhKUGusCbP-rvjHiS3A,5,3471,Stephen,28,4662,0,0,0,0,3.63,Safelite AutoGlass,Tampa,FL,"Windshield Installation & Repair, Body Shops, Auto Glass Services, Automotive",3,61,1
KqKXOl0PMlZGBMlw8OUpyA,#NAME?,5,4435,Jessica,36,4470,2,2,2,2,4.42,Maple Street Patisserie,New Orleans,LA,"Restaurants, Food, Sandwiches, Bakeries",3.5,171,1
k3Q0ZcVuMdvA_9iDcSDWIA,pym7c6ZFEtmoH16xN2ApBg,4,3314,Sting,48,4320,0,0,0,0,4.23,Katie's Restaurant & Bar,New Orleans,LA,"Restaurants, Bars, Nightlife, American (Traditional), Cajun/Creole, Seafood",4.5,1289,1
o4tYl3Hz0oDfpNn4k02DCw,AzseSGgDC6bVtMPEYo1CNQ,4,4456,Sandy,1708,5659,5,2,4,513,4.01,Creole Creamery,New Orleans,LA,"Food, Ice Cream & Frozen Yogurt",4.5,921,1
8dpPXJj1JlOE4acEcowUfQ,s3FRhtaNU8dt-mKkLKUQaQ,5,4771,Talon,16,5053,0,0,1,1,4.38,RuSan's Sushi and Seafood,Nashville,TN,"Sushi Bars, Ramen, Food, Beer, Wine & Spirits, Restaurants, Burgers, Japanese, Seafood",3,206,1
cpp89UW0imv45y3a_O444w,34Eqv8jXgxg_EEwcsNgeeg,5,4073,Erin,62,5693,0,0,0,10,3.76,Backyard Bowls,Santa Barbara,CA,"Health Markets, Coffee & Tea, Ice Cream & Frozen Yogurt, Restaurants, Juice Bars & Smoothies, Breakfast & Brunch, Food, American (New), Specialty Food",4,659,1
Vn8iqqu3T8QkmOlyH82zDA,a1u9Bxrq_fZxl2pgqQUcJA,4,2560,Ennai,47,3305,0,0,0,1,4.22,The Governor,New Orleans,LA,"Restaurants, Cajun/Creole, American (New), Seafood",4.5,330,1
7Ie0VmQtnGYUVq2YW4dTVw,xruWHK8Z5N0JWyQubLHjgA,5,5269,Kerry,182,5269,1,0,0,8,3.33,Potito's Italian American Pastries,Philadelphia,PA,"Food, Restaurants, Bakeries",3.5,88,1
EwoCJoV29tB-yAWJnZqJZA,G-zzByEfv2oqjcxYmPsjtA,5,3025,Terry,23,3674,0,0,0,0,3.89,El Limon - Malvern,Malvern,PA,"Mexican, Restaurants",4.5,267,1
zUB7xoTlhbg7_ofHg8Qp0w,W8Z4rXYkmZlEVSaxIVjyvg,5,2894,Doug,21,6201,1,0,0,0,3.81,Redwood Rotisserie + Grill,Reno,NV,"Restaurants, American (New), Cocktail Bars, Bars, Tex-Mex, American (Traditional), Barbeque, Nightlife",4,464,1
88Z1DbloWrT7g8GA5qOrng,CmjvsiafnWH60fuYz2LCmA,5,3531,Renato,12,4923,0,0,0,0,4.17,Orange Tint and Graphics,Tampa,FL,"Car Stereo Installation, Automotive, Windows Installation, Auto Repair, Professional Services, Auto Parts & Supplies, Home Window Tinting, Auto Glass Services, Vehicle Wraps, Car Window Tinting, Graphic Design, Home Services",4.5,80,1
tWJoKvHynA8h8dFXUExekw,9xm4aIAT_xwRoTxc0_8AWQ,5,3806,Steve,64,5612,0,1,0,4,3.89,Townplace Suites Tucson Airport,Tucson,AZ,"Hotels, Hotels & Travel, Event Planning & Services",4.5,44,1
E-2aaJTr0Lup35NGhV5k8A,yQhu3LbnB2gQgrquHZ_S6Q,5,2933,Jared,44,4704,0,0,0,0,3.8200000000000003,Saladworks,Newtown,PA,"Soup, Salad, American (Traditional), Vegetarian, Sandwiches, American (New), Restaurants",3,42,1
u1cvQWB0lB4YsIbtSlUR7g,_aKr7POnacW_VizRKBpCiA,5,4434,Barb,150,5737,1,0,1,11,4.21,Blues City Deli,Saint Louis,MO,"Delis, Bars, Restaurants, Nightlife, Pubs, American (Traditional), Sandwiches",5,991,1
jcJGCNrEgPHsl7zkvumq2Q,QUEWdnmVCv2Ri8xJATTrIQ,4,3325,Jennifer,49,5638,1,0,0,2,4.42,Chicken and Watermelon,New Orleans,LA,"Chicken Wings, Restaurants",3.5,124,1
xXYNgEWnjaim2byFGLex-w,7WZ5EGb-Xk_uxQTWc52P4w,5,4771,Tim,36,4996,2,0,0,0,4.68,Tom Jones Family Restaurant,Brookhaven,PA,"Restaurants, Diners, Breakfast & Brunch, American (Traditional)",3.5,106,1
jvURGq9nyZkTF1KuSaZC_g,CYwC5OjwCN6ib_AQDxi3Ow,5,3263,Joshua,26,3263,0,0,0,0,4.37,In-N-Out Burger,Goleta,CA,"Restaurants, Fast Food, Burgers",4,228,1
amIUTkKQlA4464-lJlwlaQ,oRZzKWdyMQld6N_y4UWkAg,4,4456,Cathy,115,5068,0,0,0,13,4.24,Terra Sur Cafe,Tampa,FL,"Latin American, Restaurants, Peruvian, Seafood",4,316,1
_cdKam8UxhoPni6YwP1LQw,J55AT36H5EeJ9ey8etGjHA,5,4201,Sandy,151,5159,14,6,9,43,4.21,Donut Palace,Hermitage,TN,"Food, Donuts",4.5,47,1
L-2Qdi16eMRbATGDP6ADHg,mQvRi0nm84Www71d4qOheQ,5,3303,Bridget,66,3718,1,0,1,3,4.3,Ekta Indian Cuisine,Bryn Mawr,PA,"Seafood, Vegetarian, Restaurants, Indian",4,193,1
CysTz612pTix75Fye6-D4Q,WLiqfxv_GhFFA5sm878a2w,5,4220,John,44,4628,0,1,1,1,2.45,Wei Asian Cafe,Tucson,AZ,"Chinese, Restaurants",4,109,1
zbeZ2JsL3Klt3HhNzQam2A,ELKgARoj5UNjQXUkX8T8KQ,5,4456,Sarah,15,5147,4,0,1,0,3.5300000000000002,Laundromat,Indianapolis,IN,"Local Services, Laundry Services, Dry Cleaning & Laundry, Laundromat",4.5,78,1
ZPYPQvM1DMZB39oQ9WlDgw,QvjY9esYNRMe_5kvT6TC5g,5,3499,Claudia,19,3499,3,0,0,0,4.58,Chaat and Chai,Philadelphia,PA,"Pakistani, Indian, Restaurants",4,50,1
7zJVt_Bl1h5hLjhxl2c1PQ,3YERGr7UbpSpddqL0Eiu5g,5,2773,Joan,36,4391,1,0,1,1,4.92,Mariscos Chihuahua,Tucson,AZ,"Seafood, Restaurants",4,73,1
lj49AbM3BGC5Z_eyVRMnlA,6dDC5PSmPEoJYuM8r8dN_A,5,4771,Melissa,43,4771,0,0,0,0,4.37,Whole Foods Market,Reno,NV,"Food, Grocery, Organic Stores, Specialty Food, Health Markets",4,375,1
zq2nd0H1dVzi3bta4Zepuw,JvawJ9bSr22xn4R9oLvl_w,4,3707,Stephanie,14,4524,0,0,0,0,3.87,Desire Oyster Bar,New Orleans,LA,"Southern, Event Planning & Services, Restaurants, Cajun/Creole, Seafood, Live/Raw Food, Hotels & Travel, Hotels",4,1084,1
hWDybu_KvYLSdEFzGrniTw,roc-xyyzN5b_nImb0NdRLQ,4,3850,Bruce,16567,5977,6,5,5,867,3.67,Earl of Sandwich,Philadelphia,PA,"Restaurants, Sandwiches, Wraps, Salad",3.5,81,1
f0fqCwb_QAJUPm-K95Mk2g,NdqATFd0JsFzEOD8Z8pa5w,5,3981,Ryan,272,4777,2,0,1,11,4.17,Henry's Pub & Grill,Carmel,IN,"American (Traditional), Nightlife, Pubs, Bars, Restaurants",3.5,76,1
Lc5U0qetusunJZ0NgNO_Iw,Y2rYM2crYfTC25y6iquPgw,5,3611,Dave,14,3611,0,0,0,0,4.07,Landmark Americana,Wayne,PA,"American (Traditional), Restaurants",3,76,1
dWTrJdEPoZB8LkOPv_jxsA,cg4JFJcCxRTTMmcg9O9KtA,4,3484,Leslie,300,4548,0,0,0,25,4.44,Ava,Tampa,FL,"Wine Bars, Desserts, Bars, American (New), Nightlife, Restaurants, Italian, Food, Salad, Breakfast & Brunch, Pizza",3.5,544,1
NTNitC54luCRbsr0w1W9Ew,QUEWdnmVCv2Ri8xJATTrIQ,5,3996,Clare,75,4275,1,2,2,8,4.12,Chicken and Watermelon,New Orleans,LA,"Chicken Wings, Restaurants",3.5,124,1
1xS8Jj23zHx8axIVopG3wA,W4ZEKkva9HpAdZG88juwyQ,4,5305,Jeff,269,5527,0,0,0,4,3.49,Mr. B's Bistro,New Orleans,LA,"Bars, Breakfast & Brunch, Restaurants, Barbeque, Cajun/Creole, Cafes, Cocktail Bars, Nightlife",4,2064,1
ftRgzVFzv6-TOCBXEOdWeQ,8uF-bhJFgT4Tn6DTb27viA,5,3398,Ana,52,5248,0,0,0,0,4.36,District Donuts Sliders Brew,New Orleans,LA,"Food, Donuts, Burgers, American (Traditional), Coffee & Tea, Restaurants",4.5,2062,1
7NHf3QgyGlZ_9pwdWLFdhA,QcuTCSfnI6WqKpuDL_a0OA,5,3161,Carolyn,290,3658,0,0,0,16,5,Savory Spice Shop,St. Petersburg,FL,"Food, Specialty Food",5,53,1
dCOonQ7Md1ooief37g1SHw,rrD5LY3nkyKMg1CYKKZomQ,5,3543,Shsail,151,4220,0,0,0,3,2.91,Everyone's Racquet,Mount Laurel,NJ,"Shopping, Sporting Goods",5,5,1
R1GU5Q3aw7Vkw5HvqnGSfQ,ugNplY4SZqIfP417oUxahQ,5,2976,Brittney,24,3512,1,1,1,1,3.06,Chick-fil-A,Reno,NV,"Breakfast & Brunch, Sandwiches, Restaurants, Event Planning & Services, Caterers, Chicken Shop, Fast Food",4,256,1
ci7Q6NvXQ8UZrBHusVX18g,V6Om7YZhlRQRU7WfuxHq8Q,4,2933,Gary,1289,5723,1,0,0,227,3.27,Beck's Cajun Cafe,Philadelphia,PA,"Restaurants, Cajun/Creole",4,485,1
dEvFqqQImRAaE1dT5wYMJg,h3aPn7WjxYMu_DJqXCUAjQ,4,3095,Ian,255,4451,1,1,0,23,3.65,Chick-fil-A,Valrico,FL,"Restaurants, Caterers, Event Planning & Services, Fast Food, Chicken Shop",3,46,1
0rZEWmL2rccd-N5VMzKLiQ,7T1VAYHIS3cgsDj3iS6JWQ,4,2976,H,77,4860,1,0,2,1,3.87,The Frosted Fox Cake Shop,Philadelphia,PA,"Bakeries, Food",5,104,1
iwxNSCgu-lEXtLSdPI4EyA,EDjEVzmoQVHzboFqC-M6Ew,5,2800,b,88,5058,0,0,0,1,3.48,Local Taco,Nashville,TN,"Food, Tex-Mex, Restaurants, Mexican, Breakfast & Brunch",3,308,1
QWaO0rnhQ73oDaxiE4YnAw,h8iDZcXLDicI_Wg8fwl-ig,5,3735,Shari,15,5276,3,0,3,0,4.2,Ybor City Food Tours,Tampa,FL,"Cuban, Restaurants, Food Tours, Yelp Events, Tours, Educational Services, Hotels & Travel, Education, Local Flavor",4.5,15,1
tGMnQ1EnvZqpn_jAuN8VsA,7sKfrJmjG6unAQeWdQUe2w,4,3557,Janine,11,4311,0,0,0,0,4.27,Franzone's Pizzeria & Restaurant,Philadelphia,PA,"Pizza, Restaurants",3.5,110,1
AGyh5jnM0zrIElY7aZQafQ,5ezrDoezdUlJpUa5Jg6dUQ,5,2965,Aod,30,4556,0,0,0,0,3.95,In the Valley,Philadelphia,PA,"Nightlife, Restaurants, Wine Bars, Bars, Tapas/Small Plates, Cocktail Bars, American (New)",4,73,1
CNyXcn0c0V5CFmigqqw-Xg,oY5LFo6Yxxf32ePna6mEUQ,5,3854,Zoe,12,3865,1,0,0,2,5,Chung Dam Spa & Fitness,Cheltenham,PA,"Massage Therapy, Beauty & Spas, Health & Medical, Day Spas, Reflexology",3.5,102,1
0XmgOinrZWNO15DlimRQeg,PpZqlVUAP2i8_hNfpQyKhg,5,4888,Johanna,139,4952,0,0,0,1,3.45,Buckingham Pizza,Buckingham,PA,"Restaurants, Pizza, Wraps, Salad",3.5,55,1
FqnSr3rWenjnF9taWyiHTQ,LnQRfj3pPz0369stRnwUWw,5,3386,Dayana,23,3564,1,0,0,1,3.79,Sushi Ushi,Valrico,FL,"Japanese, Sushi Bars, Restaurants",4.5,256,1
FNf6kM1wfeBeB2UW6pif7g,qdpdUjdkEUpzYDdce2yZng,4,3174,GrandmomAndThePunk,36,3200,0,0,0,2,4.15,Plaza Deli,Santa Barbara,CA,"Sandwiches, Restaurants, Salad, Hot Dogs, Delis",4,188,1
kQWfYLrDdaIJ4KBV4BrrIQ,5MIiTuQP0fkAz43aQEBrWA,5,5201,Amanda,184,6377,3,0,4,13,4.08,Rodney Mitchell Salon,Nashville,TN,"Hair Salons, Beauty & Spas",4,56,1
6n4rordXMXornGniNGppkQ,ehnMcJZlx29XMroxMd3-mQ,4,4220,Jamie,28,4876,1,0,1,2,3.8200000000000003,Spice-n-Grill,Saint Louis,MO,"Indian, Pakistani, Restaurants",4.5,157,1
